Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,3.890700,3.911500,3.717500,3.731300,3.731300,0
2004-01-01,3.731300,3.884900,3.627300,3.850000,3.850000,0
2004-02-01,3.850000,3.935000,3.767500,3.909900,3.909900,0
2004-03-01,3.909700,3.993500,3.796000,3.860000,3.860000,0
2004-04-01,3.860000,4.065900,3.818300,4.009300,4.009300,0
2004-05-01,4.009300,4.044500,3.776300,3.812900,3.812900,0
2004-06-01,3.813000,3.900000,3.685900,3.693000,3.693000,0
2004-07-01,3.693500,3.716700,3.473200,3.634400,3.634400,0
2004-08-01,3.634400,3.725200,3.549400,3.653900,3.653900,0
2004-09-01,3.653100,3.676700,3.489800,3.507600,3.507600,0
2004-10-01,3.507600,3.533800,3.354200,3.361800,3.361800,0
2004-11-01,3.361900,3.399100,3.097600,3.148100,3.148100,0
2004-12-01,3.148500,3.216500,2.964600,2.990200,2.990200,0
2005-01-01,2.990200,3.184800,2.943700,3.111400,3.111400,0
2005-02-01,3.111700,3.152500,2.916500,2.941100,2.941100,0
2005-03-01,2.941800,3.254900,2.900800,3.152100,3.152100,0
2005-04-01,3.152200,3.331200,3.113700,3.305600,3.305600,0
2005-05-01,3.305600,3.390300,3.177300,3.385500,3.385500,0
2005-06-01,3.385300,3.406800,3.257000,3.341700,3.341700,0
2005-07-01,3.340200,3.451000,3.323100,3.350900,3.350900,0
2005-08-01,3.350200,3.351400,3.220800,3.252900,3.252900,0
2005-09-01,3.249000,3.275700,3.115300,3.260600,3.260600,0
2005-10-01,3.260600,3.318100,3.194100,3.306300,3.306300,0
2005-11-01,3.306000,3.450200,3.273000,3.315500,3.315500,0
2005-12-01,3.314500,3.336500,3.173000,3.245400,3.245400,0
2006-01-01,3.245400,3.273500,3.086300,3.140200,3.140200,0
2006-02-01,3.141900,3.213400,2.890900,3.170300,3.170300,0
2006-03-01,3.169900,3.307400,2.888500,3.232500,3.232500,0
2006-04-01,3.232500,3.288500,0.530530,3.059100,3.059100,0
2006-05-01,3.060400,3.129300,2.962100,3.072500,3.072500,0
2006-06-01,3.072800,3.296400,2.993100,3.127500,3.127500,0
2006-07-01,3.127500,3.228500,3.061200,3.083600,3.083600,0
2006-08-01,3.081900,3.098500,2.983400,3.081800,3.081800,0
2006-09-01,3.078600,3.149000,3.072800,3.127500,3.127500,0
2006-10-01,3.127500,3.134900,3.023700,3.029200,3.029200,0
2006-11-01,3.029500,3.038800,2.870600,2.875800,2.875800,0
2006-12-01,2.874800,2.999100,2.841000,2.900800,2.900800,0
